cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj,valor,instituicao,ente_uf,cores,MicroRegion
2307205,Jati,0,NE,CE,M,2020,8111,07413255000125,752183.64,Câmara de Vereadores de Jati - CE,Jati-CE,red,23033
2307254,Jijoca de Jericoacoara,0,NE,CE,M,2020,19816,23718034000111,1779447.84,Câmara de Vereadores de Jijoca de Jericoacoara - CE,Jijoca de Jericoacoara-CE,blue,23001
2307304,Juazeiro do Norte,0,NE,CE,M,2020,274207,07974082000114,12490291.01,Câmara de Vereadores de Juazeiro do Norte - CE,Juazeiro do Norte-CE,blue,23032
2307403,Jucás,0,NE,CE,M,2020,24833,07541279000160,1326774.78,Câmara de Vereadores de Jucás - CE,Jucás-CE,blue,23027
2307502,Lavras da Mangabeira,0,NE,CE,M,2020,31508,07609621000116,1727339.67,Câmara de Vereadores de Lavras da Mangabeira - CE,Lavras da Mangabeira-CE,blue,23028
2307601,Limoeiro do Norte,0,NE,CE,M,2020,59540,07891674000172,3595031.91,Câmara de Vereadores de Limoeiro do Norte - CE,Limoeiro do Norte-CE,blue,23023
2307635,Madalena,0,NE,CE,M,2020,19691,10508935000137,1268646.96,Câmara de Vereadores de Madalena - CE,Madalena-CE,blue,23019
2307650,Maracanaú,0,NE,CE,M,2020,227886,07605850000162,18983493.72,Câmara de Vereadores de Maracanaú - CE,Maracanaú-CE,blue,23016
2307700,Maranguape,0,NE,CE,M,2020,128978,07963051000168,4441420.34,Câmara de Vereadores de Maranguape - CE,Maranguape-CE,blue,23016
2307809,Marco,0,NE,CE,M,2020,27361,07566516000147,1340634.94,Câmara de Vereadores de Marco - CE,Marco-CE,blue,23001
2307908,Martinópole,0,NE,CE,M,2020,11233,07661192000126,734935.99,Câmara de Vereadores de Martinópole - CE,Martinópole-CE,blue,23001
2308005,Massapê,0,NE,CE,M,2020,38737,07598691000116,1745789.02,Câmara de Vereadores de Massapê - CE,Massapê-CE,blue,23005
2308104,Mauriti,0,NE,CE,M,2020,47962,07655269000155,2064815.46,Câmara de Vereadores de Mauriti - CE,Mauriti-CE,blue,23031
2308203,Meruoca,0,NE,CE,M,2020,15057,07598683000170,1143148.39,Câmara de Vereadores de Meruoca - CE,Meruoca-CE,blue,23004
2308302,Milagres,0,NE,CE,M,2020,27512,07655277000100,1320973.36,Câmara de Vereadores de Milagres - CE,Milagres-CE,blue,23033
2308351,Milhã,0,NE,CE,M,2020,13155,06741565000106,849976.45,Câmara de Vereadores de Milhã - CE,Milhã-CE,blue,23021
2308377,Miraíma,0,NE,CE,M,2020,13818,10517563000105,764272.37,Câmara de Vereadores de Miraíma - CE,Miraíma-CE,blue,23005
2308401,Missão Velha,0,NE,CE,M,2020,35393,07977044000115,1782917.33,Câmara de Vereadores de Missão Velha - CE,Missão Velha-CE,blue,23032
2308500,Mombaça,0,NE,CE,M,2020,43797,07736390000101,1789121.91,Câmara de Vereadores de Mombaça - CE,Mombaça-CE,blue,23021
2308609,Monsenhor Tabosa,0,NE,CE,M,2020,17234,07693989000105,1227128.17,Câmara de Vereadores de Monsenhor Tabosa - CE,Monsenhor Tabosa-CE,blue,23018
2308708,Morada Nova,0,NE,CE,M,2020,61890,07782840000100,3260625.8,Câmara de Vereadores de Morada Nova - CE,Morada Nova-CE,blue,23023
2308807,Moraújo,0,NE,CE,M,2020,8724,07598675000123,NA,NA,Moraújo-CE,red,23003
2308906,Morrinhos,0,NE,CE,M,2020,22534,07566920000110,1473904.55,Câmara de Vereadores de Morrinhos - CE,Morrinhos-CE,blue,23001
2309003,Mucambo,0,NE,CE,M,2020,14537,07733793000105,NA,NA,Mucambo-CE,blue,23005
2309102,Mulungu,0,NE,CE,M,2020,10823,07910730000179,832908.64,Câmara de Vereadores de Mulungu - CE,Mulungu-CE,blue,23013
2309201,Nova Olinda,0,NE,CE,M,2020,15565,07536444000195,982622.11,Câmara de Vereadores de Nova Olinda - CE,Nova Olinda-CE,blue,23032
2309300,Nova Russas,0,NE,CE,M,2020,32328,07993439000101,1817084.55,Câmara de Vereadores de Nova Russas - CE,Nova Russas-CE,blue,23018
2309409,Novo Oriente,0,NE,CE,M,2020,28607,07982010000119,1441479.43,Câmara de Vereadores de Novo Oriente - CE,Novo Oriente-CE,blue,23018
2309458,Ocara,0,NE,CE,M,2020,25703,12459616000104,1367108.72,Câmara de Vereadores de Ocara - CE,Ocara-CE,blue,23014
2309508,Orós,0,NE,CE,M,2020,21427,07670821000184,NA,NA,Orós-CE,blue,23026
2309607,Pacajus,0,NE,CE,M,2020,72203,07384407000109,4112500.49,Câmara de Vereadores de Pacajus - CE,Pacajus-CE,blue,23017
2309706,Pacatuba,0,NE,CE,M,2020,83432,07963861000114,4718081.23,Câmara de Vereadores de Pacatuba - CE,Pacatuba-CE,blue,23016
2309805,Pacoti,0,NE,CE,M,2020,12261,07910755000172,800510.81,Câmara de Vereadores de Pacoti - CE,Pacoti-CE,blue,23013
2309904,Pacujá,0,NE,CE,M,2020,6533,07734148000107,464079.17,Câmara de Vereadores de Pacujá - CE,Pacujá-CE,red,23005
2310001,Palhano,0,NE,CE,M,2020,9386,07488679000159,704806.94,Câmara de Vereadores de Palhano - CE,Palhano-CE,red,23023
2310100,Palmácia,0,NE,CE,M,2020,13322,07711666000105,788683.91,Câmara de Vereadores de Palmácia - CE,Palmácia-CE,blue,23013
2310209,Paracuru,0,NE,CE,M,2020,35076,07592298000115,2580371.44,Câmara de Vereadores de Paracuru - CE,Paracuru-CE,blue,23009
2310258,Paraipaba,0,NE,CE,M,2020,32744,10380608000142,1961613.73,Câmara de Vereadores de Paraipaba - CE,Paraipaba-CE,blue,23009
2310308,Parambu,0,NE,CE,M,2020,31521,07731102000126,865923.67,Câmara de Vereadores de Parambu - CE,Parambu-CE,blue,23020
2310407,Paramoti,0,NE,CE,M,2020,12226,07711963000142,886236.82,Câmara de Vereadores de Paramoti - CE,Paramoti-CE,blue,23012
2310506,Pedra Branca,0,NE,CE,M,2020,43258,07726540000104,2007132.46,Câmara de Vereadores de Pedra Branca - CE,Pedra Branca-CE,blue,23021
2310605,Penaforte,0,NE,CE,M,2020,9077,07414931000185,NA,NA,Penaforte-CE,red,23033
2310704,Pentecoste,0,NE,CE,M,2020,37751,07682651000158,1864661.38,Câmara de Vereadores de Pentecoste - CE,Pentecoste-CE,blue,23011
2310803,Pereiro,0,NE,CE,M,2020,16307,07570518000100,1196451.32,Câmara de Vereadores de Pereiro - CE,Pereiro-CE,blue,23025
2310852,Pindoretama,0,NE,CE,M,2020,20567,23563448000119,1335441.81,Câmara de Vereadores de Pindoretama - CE,Pindoretama-CE,blue,23015
2310902,Piquet Carneiro,0,NE,CE,M,2020,16959,07738057000131,1115860.91,Câmara de Vereadores de Piquet Carneiro - CE,Piquet Carneiro-CE,blue,23021
2310951,Pires Ferreira,0,NE,CE,M,2020,10951,10462208000186,694697.7,Câmara de Vereadores de Pires Ferreira - CE,Pires Ferreira-CE,blue,23006
2311009,Poranga,0,NE,CE,M,2020,12336,07438187000159,NA,NA,Poranga-CE,blue,23006
2311108,Porteiras,0,NE,CE,M,2020,14996,07654114000102,1038883.51,Câmara de Vereadores de Porteiras - CE,Porteiras-CE,blue,23032
2311207,Potengi,0,NE,CE,M,2020,11045,07658917000127,818153.28,Câmara de Vereadores de Potengi - CE,Potengi-CE,blue,23029
2311231,Potiretama,0,NE,CE,M,2020,6419,12461653000157,698698.36,Câmara de Vereadores de Potiretama - CE,Potiretama-CE,red,23025
2311264,Quiterianópolis,0,NE,CE,M,2020,21084,07551179000114,1534148.15,Câmara de Vereadores de Quiterianópolis - CE,Quiterianópolis-CE,blue,23018
2311306,Quixadá,0,NE,CE,M,2020,87728,23444748000189,4036375.14,Câmara de Vereadores de Quixadá - CE,Quixadá-CE,blue,23019
2311355,Quixelô,0,NE,CE,M,2020,16178,06742480000142,960047.8,Câmara de Vereadores de Quixelô - CE,Quixelô-CE,blue,23026
2311405,Quixeramobim,0,NE,CE,M,2020,81082,07744303000168,3346339.58,Câmara de Vereadores de Quixeramobim - CE,Quixeramobim-CE,blue,23019
2311504,Quixeré,0,NE,CE,M,2020,22149,07807191000147,1788411.2,Câmara de Vereadores de Quixeré - CE,Quixeré-CE,blue,23023
2311603,Redenção,0,NE,CE,M,2020,29053,07756646000142,1536266.36,Câmara de Vereadores de Redenção - CE,Redenção-CE,blue,23013
2311702,Reriutaba,0,NE,CE,M,2020,18491,07598667000187,1119979.18,Câmara de Vereadores de Reriutaba - CE,Reriutaba-CE,blue,23006
2311801,Russas,0,NE,CE,M,2020,78194,07535446000160,4065272.46,Câmara de Vereadores de Russas - CE,Russas-CE,blue,23023
2311900,Saboeiro,0,NE,CE,M,2020,15819,07811946000187,883389.53,Câmara de Vereadores de Saboeiro - CE,Saboeiro-CE,blue,23020
2311959,Salitre,0,NE,CE,M,2020,16554,12464491000100,1009593.53,Câmara de Vereadores de Salitre - CE,Salitre-CE,blue,23029
2312007,Santana do Acaraú,0,NE,CE,M,2020,32452,07598659000130,1666540.64,Câmara de Vereadores de Santana do Acaraú - CE,Santana do Acaraú-CE,blue,23005
2312106,Santana do Cariri,0,NE,CE,M,2020,17700,07597347000102,1232494.92,Câmara de Vereadores de Santana do Cariri - CE,Santana do Cariri-CE,blue,23032
2312205,Santa Quitéria,0,NE,CE,M,2020,43703,07725138000105,2012806.68,Câmara de Vereadores de Santa Quitéria - CE,Santa Quitéria-CE,blue,23007
2312304,São Benedito,0,NE,CE,M,2020,47903,07778129000174,1636250.99,Câmara de Vereadores de São Benedito - CE,São Benedito-CE,blue,23002
2312403,São Gonçalo do Amarante,0,NE,CE,M,2020,48422,07533656000119,6495164.39,Câmara de Vereadores de São Gonçalo do Amarante - CE,São Gonçalo do Amarante-CE,blue,23009
2312502,São João do Jaguaribe,0,NE,CE,M,2020,7645,07891690000165,711162.77,Câmara de Vereadores de São João do Jaguaribe - CE,São João do Jaguaribe-CE,red,23023
2312601,São Luís do Curu,0,NE,CE,M,2020,13000,07623051000119,802125.93,Câmara de Vereadores de São Luís do Curu - CE,São Luís do Curu-CE,blue,23011
2312700,Senador Pompeu,0,NE,CE,M,2020,25496,07728421000182,1553634.38,Câmara de Vereadores de Senador Pompeu - CE,Senador Pompeu-CE,blue,23021
2312809,Senador Sá,0,NE,CE,M,2020,7623,07598642000183,529641.91,Câmara de Vereadores de Senador Sá - CE,Senador Sá-CE,red,23005
2312908,Sobral,0,NE,CE,M,2020,208935,07598634000137,13112742.07,Câmara de Vereadores de Sobral - CE,Sobral-CE,blue,23005
