instituicao,cod_ibge,uf,populacao,demais,adm,legis,total
Prefeitura Municipal de Água Comprida - MG,3100708,MG,2005,17178535,4326465,1300000,22805000
Prefeitura Municipal de Água Doce - SC,4200408,SC,7138,37642036.66,3429451.32,1558500,42629987.98
Prefeitura Municipal de Água Fria - BA,2900405,BA,16901,50300944,7615056,1808000,59724000
Prefeitura Municipal de Água Fria de Goiás - GO,5200175,GO,5676,47055549.550000004,5803734.67,2676737.8000000003,55536022.02
Prefeitura Municipal de Água Limpa - GO,5200209,GO,1872,13874787.01,3833304.72,1135000,18843091.73
Prefeitura Municipal de Água Nova - RN,2400406,RN,3230,26905656,5278596,0,32184252
Prefeitura Municipal de Água Preta - PE,2600401,PE,36454,81681327,7908973,4099700,93690000
Prefeitura Municipal de Água Santa - RS,4300059,RS,3753,24842681.96,5381650,853000,31077331.96
Prefeitura Municipal de Aguaí - SP,3500303,SP,35954,86210575.15,6453920,0,92664495.15
Prefeitura Municipal de Aguanil - MG,3100807,MG,4448,14784477.97,3230522.03,720000,18735000
Prefeitura Municipal de Águas Belas - PE,2600500,PE,43195,86713520.8,14398079.2,2796200,103907800
Prefeitura Municipal de Águas de Chapecó - SC,4200507,SC,6455,20871626.17,2257000,1088000,24216626.17
Prefeitura Municipal de Águas de Lindóia - SP,3500501,SP,18599,91777317.66,5026024.33,1128000,97931341.99
Prefeitura Municipal de Águas de Santa Bárbara - SP,3500550,SP,6040,27143695,5535805,1998000,34677500
Prefeitura Municipal de Águas de São Pedro - SP,3500600,SP,3380,27667723.439999998,6867218.18,1173000,35707941.62
Prefeitura Municipal de Águas Formosas - MG,3100906,MG,19166,46773649.22,7397850.78,1969000,56140500
Prefeitura Municipal de Águas Frias - SC,4200556,SC,2378,16203010.760000002,4184648.61,900000,21287659.37
Prefeitura Municipal de Águas Lindas de Goiás - GO,5200258,GO,207070,465385730.88,42207255.22,10349333.41,517942319.51000005
Prefeitura Municipal de Águas Mornas - SC,4200606,SC,6378,25552540.52,3014000,775000,29341540.52
Prefeitura Municipal de Águas Vermelhas - MG,3101003,MG,13477,30578181.67,2441818.33,1300000,34320000
Prefeitura Municipal de Agudo - RS,4300109,RS,16524,64040699.24,7863247.9,1680000,73583947.14
Prefeitura Municipal de Agudos - SP,3500709,SP,37023,135736693.89000002,14317663.47,6072000,156126357.36
Prefeitura Municipal de Agudos do Sul - PR,4100301,PR,9269,28421189.31,3990811.37,0,32412000.68
Prefeitura Municipal de Águia Branca - ES,3200136,ES,9653,40237952.22,5541687.84,1680000,47459640.06
Prefeitura Municipal de Aguiar - PB,2500205,PB,5571,21875303,2642789,777720,25295812
Prefeitura Municipal de Aguiarnópolis - TO,1700301,TO,6572,15233916.8,3326083.2,1045000,19605000
Prefeitura Municipal de Aimorés - MG,3101102,MG,25193,56529400,16846000,3190000,76565400
Prefeitura Municipal de Aiquara - BA,2900603,BA,4478,15130063.71,2691900.63,1178035.66,19000000
Prefeitura Municipal de Aiuaba - CE,2300408,CE,17303,41089080,9037600,1680000,51806680
Prefeitura Municipal de Aiuruoca - MG,3101201,MG,6032,17808333.68,2601378.32,931400,21341112
Prefeitura Municipal de Ajuricaba - RS,4300208,RS,7063,25311717.43,5453100,1350000,32114817.43
Prefeitura Municipal de Alagoa - MG,3101300,MG,2683,13231626.49,1807803.32,564000,15603429.81
Prefeitura Municipal de Alagoa Grande - PB,2500304,PB,28623,45932783.31,6200173.98,1954550,54087507.29000001
Prefeitura Municipal de Alagoa Nova - PB,2500403,PB,20589,51026626.760000005,5660381.09,1824398,58511405.85000001
Prefeitura Municipal de Alagoinha - PB,2500502,PB,14367,31947000,3530423,0,35477423
Prefeitura Municipal de Alagoinha - PE,2600609,PE,14554,35253486,4589514,1572000,41415000
Prefeitura Municipal de Alagoinha do Piauí - PI,2200251,PI,7636,22433975.12,5039861,924806,28398642.12
Prefeitura Municipal de Alagoinhas - BA,2900702,BA,150832,350522463.21,51199389.94,13480353,415202206.15
Prefeitura Municipal de Alambari - SP,3500758,SP,5918,18904982.94,3546700,751000,23202682.94
Prefeitura Municipal de Albertina - MG,3101409,MG,3003,13138042.09,3694048,719957,17552047.09
Prefeitura Municipal de Alcântara - MA,2100204,MA,22083,57490516.88,11678711.2,1933833.92,71103062
Prefeitura Municipal de Alcântaras - CE,2300507,CE,11529,27133752.349999998,7411854.48,1800000,36345606.83
Prefeitura Municipal de Alcantil - PB,2500536,PB,5473,18150351,1902389,820000,20872740
Prefeitura Municipal de Alcinópolis - MS,5000252,MS,5268,32748763.47,5999622,2078770.32,40827155.79
Prefeitura Municipal de Alcobaça - BA,2900801,BA,22449,127005640.13,5448000,2246359.87,134700000
Prefeitura Municipal de Aldeias Altas - MA,2100303,MA,26302,101724000,7206000,1770000,110700000
Prefeitura Municipal de Alecrim - RS,4300307,RS,6077,19109514.52,3645851.77,450000,23205366.29
Prefeitura Municipal de Alegre - ES,3200201,ES,30568,80010817.47999999,11460664.26,2947970,94419451.74
Prefeitura Municipal de Alegrete - RS,4300406,RS,74173,243065603.45999998,27887045.92,9052730,280005379.38
Prefeitura Municipal de Alegria - RS,4300455,RS,3559,21646887.4,2090439.18,900000,24637326.58
Prefeitura Municipal de Além Paraíba - MG,3101508,MG,35321,70756138.16999999,18483536.68,3393800,92633474.85
Prefeitura Municipal de Alenquer - PA,1500404,PA,56480,156372412.59,13073311.41,3260545,172706269
Prefeitura Municipal de Alexandria - RN,2400505,RN,13602,41637625.67,5297807.93,1105368,48040801.6
Prefeitura Municipal de Alexânia - GO,5200308,GO,27288,79819104.78,6340895.22,3140000,89300000
Prefeitura Municipal de Alfenas - MG,3101607,MG,79481,238871373.27,48724926.73,9303700,296900000
Prefeitura Municipal de Alfredo Chaves - ES,3200300,ES,14566,41995995.83,11419390.32,2150000,55565386.15
Prefeitura Municipal de Alfredo Marcondes - SP,3500808,SP,4147,14368583,2449740,868460,17686783
Prefeitura Municipal de Alfredo Vasconcelos - MG,3101631,MG,6831,27370260,1684020,922000,29976280
Prefeitura Municipal de Alfredo Wagner - SC,4200705,SC,9984,26064594,3263000,840000,30167594
Prefeitura Municipal de Algodão de Jandaíra - PB,2500577,PB,2488,15119825.889999999,2046778.31,729000,17895604.2
Prefeitura Municipal de Alhandra - PB,2500601,PB,19391,72687543.82,15495235.5,3500000,91682779.32
Prefeitura Municipal de Aliança - PE,2600708,PE,38375,73430952.13000001,7067824.8,2893885.19,83392662.12
Prefeitura Municipal de Aliança do Tocantins - TO,1700350,TO,5434,14477000,3327165,940000,18744165
Prefeitura Municipal de Almadina - BA,2900900,BA,5566,15740696.74,3357494.26,901809,20000000
Prefeitura Municipal de Almas - TO,1700400,TO,7131,17093767.92,2264832.08,860000,20218600
Prefeitura Municipal de Almeirim - PA,1500503,PA,34142,94498432.91,14381667.09,3772000,112652100
Prefeitura Municipal de Almenara - MG,3101706,MG,41642,88802568.64,5826928.2,3450000,98079496.84
Prefeitura Municipal de Almino Afonso - RN,2400604,RN,4761,24976897.32,3829297.68,1037000,29843195
Prefeitura Municipal de Almirante Tamandaré - PR,4100400,PR,117168,245814105.07,19596677.44,0,265410782.51
Prefeitura Municipal de Almirante Tamandaré do Sul - RS,4300471,RS,1979,14148307.510000002,3305019.52,715000,18168327.03
Prefeitura Municipal de Aloândia - GO,5200506,GO,2005,13969977.95,2999789.13,1019074.74,17988841.819999997
Prefeitura Municipal de Alpercata - MG,3101805,MG,7411,20651414.47,4871988.18,0,25523402.65
Prefeitura Municipal de Alpestre - RS,4300505,RS,6458,36522817.85,9839017.86,0,46361835.71
Prefeitura Municipal de Alpinópolis - MG,3101904,MG,19745,37995300,4593600,2560000,45148900
Prefeitura Municipal de Alta Floresta - MT,5100250,MT,51615,129416421.47000001,14887573.58,5752760,150056755.05
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,RO,23167,48316918.83,12333227.67,2464848.98,63114995.48
Prefeitura Municipal de Altair - SP,3500907,SP,4134,21144239.31,2680000,1125000,24949239.31
Prefeitura Municipal de Altamira - PA,1500602,PA,113195,279259768.47,39195246,6300000,324755014.47
Prefeitura Municipal de Altamira do Maranhão - MA,2100402,MA,8066,45246795.45,6266534.31,693026.48,52206356.24
Prefeitura Municipal de Altamira do Paraná - PR,4100459,PR,2209,16817895.42,4649653.17,912000,22379548.590000004
Prefeitura Municipal de Altaneira - CE,2300606,CE,7521,19393669.04,5129185,1181500,25704354.04
